,filename,abs_lx,abs_ly,abs_rx,abs_ry,open_eyes
197,071/3/2022-11-14 10:45:22.565919-197.jpg,352.679525,523.8750150000001,794.780875,544.1462650000001,1.0
198,071/3/2022-11-14 10:45:22.572158-198.jpg,352.884715,525.6126899999999,792.80693,545.15991,1.0
199,071/3/2022-11-14 10:45:22.578499-199.jpg,353.15126999999995,526.50022,793.653415,544.943445,1.0
200,071/3/2022-11-14 10:45:22.584502-200.jpg,351.72575000000006,523.44096,791.36058,542.8172,1.0
201,071/3/2022-11-14 10:45:22.592810-201.jpg,351.71282,525.60486,792.149395,542.33777,1.0
202,071/3/2022-11-14 10:45:22.599637-202.jpg,351.78042000000005,524.0790999999999,791.4582599999999,544.402405,1.0
203,071/3/2022-11-14 10:45:22.606254-203.jpg,352.527145,523.085315,791.939295,542.629475,1.0
204,071/3/2022-11-14 10:45:22.610434-204.jpg,348.71189,523.740795,790.70279,544.2700199999999,1.0
205,071/3/2022-11-14 10:45:22.615950-205.jpg,350.06964500000004,524.0206900000001,792.4253249999999,546.564845,1.0
206,071/3/2022-11-14 10:45:22.622210-206.jpg,351.11932,519.379815,795.6215149999999,545.487565,1.0
207,071/3/2022-11-14 10:45:22.628423-207.jpg,348.92784500000005,522.028825,792.54626,543.82411,1.0
208,071/3/2022-11-14 10:45:22.634765-208.jpg,352.383235,523.6170000000001,792.5869799999999,544.8042,1.0
209,071/3/2022-11-14 10:45:22.643529-209.jpg,348.62455,522.8453900000001,792.3498400000001,544.74865,1.0
210,071/3/2022-11-14 10:45:22.649955-210.jpg,351.12358,524.628205,790.45911,545.626415,1.0
211,071/3/2022-11-14 10:45:22.655515-211.jpg,348.08671000000004,520.904625,791.930645,545.09946,1.0
212,071/3/2022-11-14 10:45:22.659774-212.jpg,347.29992,521.870905,792.1367200000001,547.84877,1.0
213,071/3/2022-11-14 10:45:22.665998-213.jpg,350.74405,521.3645300000001,791.27617,544.03755,1.0
214,071/3/2022-11-14 10:45:22.672182-214.jpg,350.058755,524.77351,790.4154,546.6232000000001,1.0
215,071/3/2022-11-14 10:45:22.678343-215.jpg,348.20653,525.39828,791.4530299999999,546.21915,1.0
216,071/3/2022-11-14 10:45:22.684585-216.jpg,348.79656,523.22832,790.58394,544.92608,1.0
217,071/3/2022-11-14 10:45:22.691132-217.jpg,351.68439,524.790395,791.44928,546.1782450000001,1.0
218,071/3/2022-11-14 10:45:22.697230-218.jpg,350.10212,525.253165,792.3447,545.04686,1.0
219,071/3/2022-11-14 10:45:22.703435-219.jpg,353.53558,527.13506,792.01376,546.34105,1.0
220,071/3/2022-11-14 10:45:22.709699-220.jpg,351.761325,521.2074700000001,788.35655,545.9923799999999,1.0
221,071/3/2022-11-14 10:45:22.716017-221.jpg,352.15785000000005,527.964275,792.76174,546.96051,1.0
